date,capacity_factor
01-Jan,0.143358333
02-Jan,0.185625
03-Jan,0.169095833
04-Jan,0.1447625
05-Jan,0.159241667
06-Jan,0.157858333
07-Jan,0.098941667
08-Jan,0.163341667
09-Jan,0.1779
10-Jan,0.130508333
11-Jan,0.137954167
12-Jan,0.144570833
13-Jan,0.1655875
14-Jan,0.187575
15-Jan,0.157795833
16-Jan,0.174745833
17-Jan,0.202291667
18-Jan,0.1424625
19-Jan,0.174195833
20-Jan,0.178845833
21-Jan,0.193679167
22-Jan,0.175220833
23-Jan,0.154083333
24-Jan,0.139904167
25-Jan,0.131275
26-Jan,0.1268625
27-Jan,0.174520833
28-Jan,0.226745833
29-Jan,0.1623125
30-Jan,0.1913375
31-Jan,0.1807375
01-Feb,0.20325
02-Feb,0.157679167
03-Feb,0.177270833
04-Feb,0.162116667
05-Feb,0.1448125
06-Feb,0.167845833
07-Feb,0.153004167
08-Feb,0.1714375
09-Feb,0.1826875
10-Feb,0.1911125
11-Feb,0.23835
12-Feb,0.216820833
13-Feb,0.1594875
14-Feb,0.190629167
15-Feb,0.177420833
16-Feb,0.198283333
17-Feb,0.233691667
18-Feb,0.267275
19-Feb,0.265258333
20-Feb,0.205766667
21-Feb,0.223320833
22-Feb,0.2285625
23-Feb,0.210625
24-Feb,0.186908333
25-Feb,0.225208333
26-Feb,0.225083333
27-Feb,0.197358333
28-Feb,0.187570833
01-Mar,0.219595833
02-Mar,0.220741667
03-Mar,0.257708333
04-Mar,0.234325
05-Mar,0.229545833
06-Mar,0.215233333
07-Mar,0.200970833
08-Mar,0.205666667
09-Mar,0.147741667
10-Mar,0.20625
11-Mar,0.195466667
12-Mar,0.208408333
13-Mar,0.235845833
14-Mar,0.2491125
15-Mar,0.233008333
16-Mar,0.222991667
17-Mar,0.247404167
18-Mar,0.276320833
19-Mar,0.277708333
20-Mar,0.282570833
21-Mar,0.266745833
22-Mar,0.249833333
23-Mar,0.226775
24-Mar,0.260508333
25-Mar,0.243598326
26-Mar,0.25537395
27-Mar,0.233777311
28-Mar,0.211523013
29-Mar,0.248205882
30-Mar,0.325317992
31-Mar,0.277100418
