date,capacity_factor
01-Jan,0.422909238
02-Jan,0.396145265
03-Jan,0.396090556
04-Jan,0.380502367
05-Jan,0.490624675
06-Jan,0.507818217
07-Jan,0.54614974
08-Jan,0.492175565
09-Jan,0.367608081
10-Jan,0.41044405
11-Jan,0.36423994
12-Jan,0.485849581
13-Jan,0.526471319
14-Jan,0.4013367
15-Jan,0.496240633
16-Jan,0.535021225
17-Jan,0.453773985
18-Jan,0.599370679
19-Jan,0.469576844
20-Jan,0.548557744
21-Jan,0.496088513
22-Jan,0.541217327
23-Jan,0.612698206
24-Jan,0.543784246
25-Jan,0.672713175
26-Jan,0.553520825
27-Jan,0.408430329
28-Jan,0.313311896
29-Jan,0.41188096
30-Jan,0.459876871
31-Jan,0.502538856
01-Feb,0.486073267
02-Feb,0.404108027
03-Feb,0.515612213
04-Feb,0.455332698
05-Feb,0.553954777
06-Feb,0.519082648
07-Feb,0.518312088
08-Feb,0.553923006
09-Feb,0.485741994
10-Feb,0.554611821
11-Feb,0.618284908
12-Feb,0.477774319
13-Feb,0.603770985
14-Feb,0.582479773
15-Feb,0.557610815
16-Feb,0.56699679
17-Feb,0.427571092
18-Feb,0.275727567
19-Feb,0.259367673
20-Feb,0.25164551
21-Feb,0.33324839
22-Feb,0.267683229
23-Feb,0.358673104
24-Feb,0.483750604
25-Feb,0.508267533
26-Feb,0.434587129
27-Feb,0.415959838
28-Feb,0.38763629
01-Mar,0.300416679
02-Mar,0.47584386
03-Mar,0.472971535
04-Mar,0.395990381
05-Mar,0.247165188
06-Mar,0.352328473
07-Mar,0.395488508
08-Mar,0.40385071
09-Mar,0.40748109
10-Mar,0.42923091
11-Mar,0.440616829
12-Mar,0.486713948
13-Mar,0.483448708
14-Mar,0.382453775
15-Mar,0.379651279
16-Mar,0.442507342
17-Mar,0.537787629
18-Mar,0.455770808
19-Mar,0.4610724
20-Mar,0.418370515
21-Mar,0.3925716
22-Mar,0.461213319
23-Mar,0.592849619
24-Mar,0.544258421
25-Mar,0.386217056
26-Mar,0.395551061
27-Mar,0.405944305
28-Mar,0.388712297
29-Mar,0.364565376
30-Mar,0.395730885
31-Mar,0.534261498
01-Apr,0.536996585
