local_time,capacity_factor wind
01/09/2014 08:00,0.179
01/09/2014 09:00,0.141
01/09/2014 10:00,0.108
01/09/2014 11:00,0.069
01/09/2014 12:00,0.024
01/09/2014 13:00,0.007
01/09/2014 14:00,0.017
01/09/2014 15:00,0.045
01/09/2014 16:00,0.09
01/09/2014 17:00,0.142
01/09/2014 18:00,0.189
01/09/2014 19:00,0.221
01/09/2014 20:00,0.231
01/09/2014 21:00,0.212
01/09/2014 22:00,0.191
01/09/2014 23:00,0.158
02/09/2014 00:00,0.113
02/09/2014 01:00,0.076
02/09/2014 02:00,0.057
02/09/2014 03:00,0.054
02/09/2014 04:00,0.064
02/09/2014 05:00,0.092
02/09/2014 06:00,0.123
02/09/2014 07:00,0.142
02/09/2014 08:00,0.155
02/09/2014 09:00,0.187
02/09/2014 10:00,0.247
02/09/2014 11:00,0.331
02/09/2014 12:00,0.432
02/09/2014 13:00,0.524
02/09/2014 14:00,0.594
02/09/2014 15:00,0.638
02/09/2014 16:00,0.666
02/09/2014 17:00,0.69
02/09/2014 18:00,0.722
02/09/2014 19:00,0.722
02/09/2014 20:00,0.687
02/09/2014 21:00,0.668
02/09/2014 22:00,0.661
02/09/2014 23:00,0.642
03/09/2014 00:00,0.563
03/09/2014 01:00,0.489
03/09/2014 02:00,0.435
03/09/2014 03:00,0.379
03/09/2014 04:00,0.341
03/09/2014 05:00,0.313
03/09/2014 06:00,0.299
03/09/2014 07:00,0.285
03/09/2014 08:00,0.274
03/09/2014 09:00,0.277
03/09/2014 10:00,0.278
03/09/2014 11:00,0.286
03/09/2014 12:00,0.289
03/09/2014 13:00,0.29
03/09/2014 14:00,0.296
03/09/2014 15:00,0.308
03/09/2014 16:00,0.318
03/09/2014 17:00,0.325
03/09/2014 18:00,0.343
03/09/2014 19:00,0.334
03/09/2014 20:00,0.295
03/09/2014 21:00,0.268
03/09/2014 22:00,0.304
03/09/2014 23:00,0.332
04/09/2014 00:00,0.336
04/09/2014 01:00,0.32
04/09/2014 02:00,0.289
04/09/2014 03:00,0.26
04/09/2014 04:00,0.234
04/09/2014 05:00,0.208
04/09/2014 06:00,0.185
04/09/2014 07:00,0.163
04/09/2014 08:00,0.13
04/09/2014 09:00,0.074
04/09/2014 10:00,0.028
04/09/2014 11:00,0.012
04/09/2014 12:00,0.008
04/09/2014 13:00,0.007
04/09/2014 14:00,0.011
04/09/2014 15:00,0.02
04/09/2014 16:00,0.031
04/09/2014 17:00,0.044
04/09/2014 18:00,0.054
04/09/2014 19:00,0.069
04/09/2014 20:00,0.083
04/09/2014 21:00,0.074
04/09/2014 22:00,0.051
04/09/2014 23:00,0.026
05/09/2014 00:00,0.011
05/09/2014 01:00,0.006
05/09/2014 02:00,0.008
05/09/2014 03:00,0.015
05/09/2014 04:00,0.021
05/09/2014 05:00,0.025
05/09/2014 06:00,0.025
05/09/2014 07:00,0.023
05/09/2014 08:00,0.012
05/09/2014 09:00,0.007
05/09/2014 10:00,0.005
05/09/2014 11:00,0.004
05/09/2014 12:00,0.005
05/09/2014 13:00,0.006
05/09/2014 14:00,0.005
05/09/2014 15:00,0.005
05/09/2014 16:00,0.007
05/09/2014 17:00,0.009
05/09/2014 18:00,0.032
05/09/2014 19:00,0.072
05/09/2014 20:00,0.096
05/09/2014 21:00,0.079
05/09/2014 22:00,0.052
05/09/2014 23:00,0.032
06/09/2014 00:00,0.022
06/09/2014 01:00,0.015
06/09/2014 02:00,0.009
